#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet
1,EM08,AL1,SUI,CZE,0-1,2,1-1,x,1,1-2,2,3,2-1,1,1,1-2,2,3,1-1,x,1,,,,,,,,,
2,EM08,AL1,POR,TUR,2-0,1,2-0,1,5,3-1,1,3,3-0,1,4,2-1,1,4,2-0,1,5,,,,,,,,,
3,EM08,AL1,AUT,CRO,0-1,2,1-2,2,3,0-3,2,4,1-1,x,1,0-2,2,4,0-2,2,4,,,,,,,,,
4,EM08,AL1,GER,POL,2-0,1,1-0,1,4,3-0,1,4,2-1,1,4,3-0,1,4,2-0,1,5,2-1,1,4,,,,,,
5,EM08,AL1,ROU,FRA,0-0,x,0-1,2,1,0-2,2,1,1-2,2,0,0-1,2,1,1-2,2,0,0-3,2,1,1-2,2,0,,,
6,EM08,AL1,NED,ITA,3-0,1,0-0,x,1,1-1,x,0,2-2,x,0,1-2,2,0,0-0,x,1,2-1,1,3,2-1,1,3,,,
7,EM08,AL1,ESP,RUS,4-1,1,2-0,1,3,2-0,1,3,2-2,x,0,2-0,1,3,1-1,x,1,3-1,1,4,1-0,1,3,2-0,1,3
8,EM08,AL1,GRE,SWE,0-2,2,1-1,x,0,1-1,x,0,1-2,2,4,1-2,2,4,0-0,x,1,1-1,x,0,0-2,2,5,1-1,x,0
9,EM08,AL2,CZE,POR,1-3,2,0-1,2,3,1-2,2,4,0-2,2,3,0-2,2,3,0-1,2,3,1-2,2,4,0-2,2,3,0-2,2,3
10,EM08,AL2,SUI,TUR,1-2,2,2-1,1,0,2-1,1,0,2-2,x,1,1-1,x,1,2-1,1,0,1-0,1,1,1-0,1,1,1-0,1,1
11,EM08,AL2,CRO,GER,2-1,1,1-3,2,0,1-2,2,0,1-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0,1-2,2,0,2-2,x,1
12,EM08,AL2,AUT,POL,1-1,x,0-2,2,0,1-1,x,5,2-2,x,3,0-1,2,1,1-2,2,1,0-1,2,1,0-0,x,3,1-0,1,1
13,EM08,AL2,ITA,ROU,1-1,x,3-1,1,1,2-1,1,1,2-1,1,1,2-0,1,0,1-0,1,1,2-0,1,0,2-0,1,0,0-0,x,3
14,EM08,AL2,NED,FRA,4-1,1,0-1,2,1,2-1,1,4,3-1,1,4,2-2,x,0,1-1,x,1,0-0,x,0,2-2,x,0,2-1,1,4
15,EM08,AL2,SWE,ESP,1-2,2,0-2,2,4,1-3,2,4,1-3,2,4,1-2,2,5,0-1,2,3,0-3,2,3,1-2,2,5,3-0,1,0
16,EM08,AL2,GRE,RUS,0-1,2,1-1,x,1,1-2,2,3,2-2,x,0,0-2,2,4,0-1,2,5,0-1,2,5,0-1,2,5,1-0,1,0
17,EM08,AL3,SUI,POR,2-0,1,1-3,2,0,1-2,2,0,0-2,2,0,1-2,2,0,2-1,1,4,2-1,1,4,1-2,2,0,1-0,1,4
18,EM08,AL3,TUR,CZE,3-2,1,1-1,x,0,1-2,2,1,2-0,1,3,1-2,2,1,2-1,1,3,1-3,2,0,1-1,x,0,1-1,x,0
19,EM08,AL3,POL,CRO,0-1,2,2-1,1,1,2-1,1,1,0-2,2,4,1-1,x,1,2-1,1,1,2-2,x,0,1-1,x,1,2-0,1,0
