#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,AKAA-veikkaus,AKAA-merkki,AKAA-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,ek1-veikkaus,ek1-merkki,ek1-pisteet,JayJay-veikkaus,JayJay-merkki,JayJay-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet
96,EM12,AL1,POL,GRE,1-1,x,1-0,1,1,2-0,1,0,2-0,1,0,1-0,1,1,2-1,1,1,2-1,1,1,1-1,x,5,2-0,1,0,1-0,1,1,1-0,1,1,1-0,1,1,2-1,1,1,1-0,1,1,1-0,1,1
97,EM12,AL1,RUS,CZE,4-1,1,2-1,1,4,2-1,1,4,2-2,x,0,2-0,1,3,2-2,x,0,2-0,1,3,1-3,2,0,2-0,1,3,2-1,1,4,1-0,1,3,2-1,1,4,1-1,x,1,2-0,1,3,2-1,1,4
98,EM12,AL1,NED,DEN,0-1,2,2-0,1,0,2-0,1,0,3-1,1,1,2-0,1,0,3-1,1,1,2-0,1,0,2-0,1,0,3-0,1,0,3-0,1,0,2-0,1,0,2-0,1,0,2-1,1,1,2-0,1,0,2-0,1,0
99,EM12,AL1,GER,POR,1-0,1,2-2,x,0,1-1,x,1,3-1,1,3,3-1,1,3,3-0,1,4,2-1,1,3,2-1,1,3,3-1,1,3,1-0,1,5,1-0,1,5,2-1,1,3,3-2,1,3,2-1,1,3,3-1,1,3
100,EM12,AL1,ESP,ITA,1-1,x,1-0,1,1,2-1,1,1,2-0,1,0,1-1,x,5,2-1,1,1,1-1,x,5,3-2,1,0,2-0,1,0,0-0,x,3,1-0,1,1,1-1,x,5,2-1,1,1,2-0,1,0,1-0,1,1
101,EM12,AL1,IRL,CRO,1-3,2,1-1,x,1,1-1,x,1,1-1,x,1,0-0,x,0,1-1,x,1,0-0,x,0,1-2,2,4,1-1,x,1,0-0,x,0,0-1,2,3,0-0,x,0,1-1,x,1,0-1,2,3,1-2,2,4
102,EM12,AL1,FRA,ENG,1-1,x,2-1,1,1,1-1,x,5,1-0,1,1,1-0,1,1,2-0,1,0,2-1,1,1,1-1,x,5,0-1,2,1,1-1,x,5,1-0,1,1,1-0,1,1,2-1,1,1,1-0,1,1,1-1,x,5
103,EM12,AL1,UKR,SWE,2-1,1,1-2,2,0,2-3,2,1,1-2,2,0,1-3,2,0,1-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0,0-2,2,0,0-1,2,1,0-2,2,0,1-1,x,1,0-0,x,0,1-2,2,0
104,EM12,AL2,GRE,CZE,1-2,2,1-2,2,5,1-1,x,1,1-1,x,1,2-1,1,0,1-2,2,5,0-1,2,3,0-1,2,3,1-1,x,1,1-1,x,1,0-1,2,3,1-1,x,1,1-2,2,5,0-1,2,3,1-0,1,1
105,EM12,AL2,POL,RUS,1-1,x,1-1,x,5,2-1,1,1,1-2,2,1,1-1,x,5,1-3,2,1,1-2,2,1,1-0,1,1,0-1,2,1,1-3,2,1,0-1,2,1,1-2,2,1,2-3,2,0,1-2,2,1,1-2,2,1
106,EM12,AL2,DEN,POR,2-3,2,0-2,2,3,1-1,x,0,2-2,x,1,0-2,2,3,1-1,x,0,1-2,2,3,1-1,x,0,1-1,x,0,1-2,2,3,0-1,2,3,0-1,2,3,1-2,2,3,1-1,x,0,1-1,x,0
107,EM12,AL2,NED,GER,1-2,2,1-1,x,1,1-2,2,5,2-1,1,0,1-1,x,1,0-2,2,4,2-1,1,0,2-1,1,0,2-2,x,1,2-2,x,1,1-2,2,5,1-2,2,5,0-2,2,4,2-3,2,3,1-2,2,5
108,EM12,AL2,ITA,CRO,1-1,x,2-1,1,1,1-1,x,5,2-1,1,1,2-0,1,0,2-1,1,1,2-1,1,1,3-1,1,1,2-1,1,1,2-0,1,0,1-0,1,1,2-1,1,1,3-1,1,1,1-1,x,5,1-2,2,1
109,EM12,AL2,ESP,IRL,4-0,1,2-0,1,4,3-0,1,4,3-0,1,4,3-0,1,4,3-1,1,3,3-0,1,4,2-0,1,4,2-0,1,4,4-0,1,5,3-0,1,4,3-1,1,3,3-1,1,3,3-0,1,4,3-1,1,3
110,EM12,AL2,UKR,FRA,0-2,2,0-2,2,5,1-2,2,4,1-2,2,4,1-3,2,3,1-2,2,4,1-2,2,4,0-3,2,4,0-3,2,4,1-2,2,4,0-1,2,4,1-2,2,4,0-2,2,5,1-2,2,4,1-2,2,4
111,EM12,AL2,SWE,ENG,2-3,2,1-1,x,0,0-1,2,3,1-1,x,0,1-1,x,0,1-1,x,0,2-1,1,1,0-2,2,3,1-2,2,3,0-3,2,3,0-1,2,3,0-1,2,3,1-2,2,3,2-1,1,1,1-2,2,3
112,EM12,AL3,CZE,POL,1-0,1,0-1,2,0,1-2,2,1,0-1,2,0,2-3,2,0,,,,1-2,2,1,1-1,x,1,1-1,x,1,1-2,2,1,1-2,2,1,1-2,2,1,1-2,2,1,0-1,2,0,1-2,2,1
113,EM12,AL3,GRE,RUS,1-0,1,1-2,2,1,1-2,2,1,0-2,2,0,1-2,2,1,,,,0-1,2,0,1-2,2,1,1-2,2,1,0-0,x,1,0-2,2,0,0-2,2,0,0-3,2,0,0-2,2,0,0-2,2,0
114,EM12,AL3,POR,NED,2-1,1,2-2,x,1,2-2,x,1,2-2,x,1,1-2,2,0,2-2,x,1,1-2,2,0,0-0,x,0,2-2,x,1,2-3,2,1,1-2,2,0,2-3,2,1,1-2,2,0,1-2,2,0,2-1,1,5
115,EM12,AL3,DEN,GER,1-2,2,0-2,2,4,1-1,x,1,1-3,2,4,0-2,2,4,0-3,2,3,1-2,2,5,1-1,x,1,0-2,2,4,0-2,2,4,0-2,2,4,1-2,2,5,0-2,2,4,1-2,2,5,1-2,2,5
116,EM12,AL3,CRO,ESP,0-1,2,1-3,2,3,1-1,x,1,1-2,2,3,1-1,x,1,1-2,2,3,1-1,x,1,0-2,2,4,1-2,2,3,0-2,2,4,0-2,2,4,1-2,2,3,1-3,2,3,2-2,x,0,1-2,2,3
117,EM12,AL3,ITA,IRL,2-0,1,1-0,1,4,2-0,1,5,2-0,1,5,3-0,1,4,2-0,1,5,2-0,1,5,2-0,1,5,2-0,1,5,2-0,1,5,2-0,1,5,2-0,1,5,2-1,1,4,2-1,1,4,2-1,1,4
118,EM12,AL3,ENG,UKR,1-0,1,2-0,1,4,1-0,1,5,2-1,1,3,1-0,1,5,2-2,x,0,1-2,2,1,2-1,1,3,2-0,1,4,2-0,1,4,1-0,1,5,2-1,1,3,1-1,x,1,2-1,1,3,3-1,1,3
119,EM12,AL3,SWE,FRA,2-0,1,1-2,2,0,1-2,2,0,1-2,2,0,1-2,2,0,1-2,2,0,1-2,2,0,0-2,2,0,1-2,2,0,1-2,2,0,0-1,2,0,0-2,2,0,1-2,2,0,1-1,x,0,1-2,2,0
120,EM12,JPV,CZE,POR,0-1,2,1-1,x,1,0-2,2,4,1-2,2,3,0-2,2,4,2-2,x,0,1-1,x,1,1-1,x,1,1-2,2,3,0-2,2,4,0-2,2,4,0-2,2,4,1-2,2,3,0-2,2,4,1-2,2,3
121,EM12,JPV,GER,GRE,4-2,1,4-1,1,4,2-0,1,3,3-0,1,3,2-1,1,3,2-0,1,3,2-0,1,3,0-1,2,0,2-0,1,3,1-0,1,3,2-0,1,3,1-0,1,3,2-1,1,3,1-1,x,0,3-0,1,3
122,EM12,JPV,ESP,FRA,2-0,1,2-2,x,1,1-2,2,0,1-1,x,0,2-1,1,4,1-1,x,0,2-2,x,1,0-4,2,0,1-1,x,0,2-0,1,5,2-0,1,5,2-1,1,4,2-0,1,5,1-0,1,4,1-0,1,4
123,EM12,JPV,ENG,ITA,0-0,x,2-1,1,0,2-1,1,0,1-1,x,3,0-1,2,1,0-1,2,1,1-0,1,1,1-0,1,1,2-0,1,1,1-1,x,3,1-0,1,1,1-1,x,3,0-1,2,1,1-1,x,3,1-2,2,0
124,EM12,JV,POR,ESP,0-0,x,2-2,x,3,2-1,1,0,1-1,x,3,0-0,x,5,,,,1-2,2,0,3-2,1,0,0-2,2,1,0-1,2,1,0-1,2,1,2-1,1,0,1-2,2,0,2-1,1,0,1-1,x,3
125,EM12,JV,GER,ITA,1-2,2,0-2,2,4,2-2,x,1,2-1,1,0,2-1,1,0,2-1,1,0,2-1,1,0,,,,1-0,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-1,1,0,2-0,1,0,2-0,1,0
126,EM12,JF,ESP,ITA,4-0,1,1-1,x,0,1-2,2,0,1-2,2,0,2-2,x,0,,,,1-1,x,0,0-4,2,0,1-0,1,4,0-0,x,1,1-0,1,4,1-2,2,0,1-0,1,4,,,,1-2,2,0
