#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Etirel9-veikkaus,Etirel9-merkki,Etirel9-pisteet,kool-aid-veikkaus,kool-aid-merkki,kool-aid-pisteet
306,EM20,AL1,TUR,ITA,0-3,2,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-1,2,4,0-1,2,4,1-1,x,0,0-1,2,4,1-2,2,3,0-2,2,4,1-2,2,3
307,EM20,AL1,WAL,SUI,1-1,x,1-2,2,1,0-1,2,1,1-0,1,1,0-1,2,1,1-1,x,5,2-1,1,1,1-2,2,1,0-0,x,3,1-1,x,5,0-1,2,1,0-1,2,1,1-2,2,1,1-1,x,5,1-1,x,5
308,EM20,AL1,DEN,FIN,0-1,2,2-0,1,0,1-1,x,1,0-0,x,1,2-0,1,0,1-1,x,1,1-1,x,1,2-0,1,0,0-2,2,4,2-0,1,0,0-1,2,5,1-1,x,1,2-1,1,1,0-1,2,5,0-1,2,5
309,EM20,AL1,BEL,RUS,3-0,1,3-0,1,5,1-0,1,4,2-1,1,3,3-0,1,5,3-1,1,4,3-1,1,4,3-1,1,4,2-1,1,3,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,3-1,1,4,2-0,1,4
310,EM20,AL1,ENG,CRO,1-0,1,2-1,1,3,2-1,1,3,1-0,1,5,1-1,x,1,2-1,1,3,3-1,1,3,2-0,1,4,2-1,1,3,2-0,1,4,2-1,1,3,2-1,1,3,2-0,1,4,2-1,1,3,3-1,1,3
311,EM20,AL1,AUT,MKD,3-1,1,2-0,1,3,2-0,1,3,2-0,1,3,1-0,1,3,1-1,x,1,1-0,1,3,1-1,x,1,0-0,x,0,2-1,1,4,2-0,1,3,2-1,1,4,2-1,1,4,1-0,1,3,4-0,1,3
312,EM20,AL1,NED,UKR,3-2,1,2-1,1,3,2-1,1,3,3-1,1,4,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,3-0,1,4,2-0,1,3,2-0,1,3,2-1,1,3,1-0,1,3,2-0,1,3,3-2,1,5
313,EM20,AL1,SCO,CZE,0-2,2,1-0,1,0,0-1,2,4,0-1,2,4,1-0,1,0,1-1,x,0,0-1,2,4,0-0,x,1,1-1,x,0,1-1,x,0,1-0,1,0,1-0,1,0,1-1,x,0,1-1,x,0,2-1,1,0
314,EM20,AL1,POL,SVK,1-2,2,1-0,1,1,2-0,1,0,2-0,1,0,2-0,1,0,1-1,x,1,1-1,x,1,2-0,1,0,0-0,x,0,2-0,1,0,2-0,1,0,2-0,1,0,3-1,1,0,2-1,1,0,3-0,1,0
315,EM20,AL1,ESP,SWE,0-0,x,3-1,1,0,2-0,1,1,2-1,1,0,3-1,1,0,1-0,1,1,2-0,1,1,2-1,1,0,4-0,1,1,2-0,1,1,1-0,1,1,2-0,1,1,2-1,1,0,2-0,1,1,2-1,1,0
316,EM20,AL1,HUN,POR,0-3,2,0-2,2,4,1-3,2,4,0-3,2,5,0-3,2,5,0-1,2,4,1-3,2,4,0-2,2,4,0-1,2,4,0-4,2,4,0-3,2,5,0-3,2,5,0-3,2,5,0-3,2,5,1-2,2,3
317,EM20,AL1,FRA,GER,1-0,1,2-2,x,0,1-0,1,5,1-2,2,1,2-1,1,3,0-0,x,1,2-1,1,3,1-2,2,1,1-0,1,5,2-1,1,3,2-0,1,4,2-1,1,3,2-2,x,0,1-1,x,1,0-1,2,0
318,EM20,AL2,FIN,RUS,0-1,2,1-2,2,3,1-1,x,1,1-1,x,1,1-1,x,1,2-0,1,0,1-1,x,1,1-1,x,1,1-0,1,0,0-1,2,5,0-2,2,4,2-1,1,1,1-1,x,1,1-1,x,1,1-1,x,1
319,EM20,AL2,TUR,WAL,0-2,2,1-1,x,0,0-1,2,4,0-1,2,4,2-1,1,0,1-0,1,0,0-1,2,4,1-1,x,0,2-0,1,0,1-0,1,0,0-1,2,4,1-2,2,4,2-1,1,0,1-1,x,0,0-1,2,4
