#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Etirel9-veikkaus,Etirel9-merkki,Etirel9-pisteet,kool-aid-veikkaus,kool-aid-merkki,kool-aid-pisteet,ernoluukkonen-veikkaus,ernoluukkonen-merkki,ernoluukkonen-pisteet
357,EM24,AL1,GER,SCO,5-1,1,2-0,1,3,2-0,1,3,2-1,1,4,2-0,1,3,2-0,1,3,2-1,1,4,2-0,1,3,1-0,1,3,2-0,1,3,2-0,1,3,2-1,1,4,2-0,1,3,2-1,1,4,4-2,1,3
358,EM24,AL1,HUN,SUI,1-3,2,1-1,x,1,0-1,2,3,1-1,x,1,0-1,2,3,0-1,2,3,0-2,2,3,2-1,1,0,0-2,2,3,1-2,2,4,0-1,2,3,3-2,1,0,0-1,2,3,0-2,2,3,1-2,2,4
359,EM24,AL1,ESP,CRO,3-0,1,3-2,1,4,2-1,1,3,1-2,2,0,1-1,x,0,1-0,1,4,2-1,1,3,1-1,x,0,1-1,x,0,3-1,1,4,1-2,2,0,1-2,2,0,2-1,1,3,1-2,2,0,3-2,1,4
360,EM24,AL1,ITA,ALB,2-1,1,2-0,1,4,3-0,1,3,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,1-0,1,3,2-0,1,4,2-0,1,4,4-0,1,3,3-0,1,3,2-0,1,4,2-0,1,4
361,EM24,AL1,POL,NED,1-2,2,1-3,2,4,1-2,2,5,0-1,2,3,1-2,2,5,1-1,x,1,0-2,2,4,1-3,2,4,0-2,2,4,1-2,2,5,0-3,2,3,1-2,2,5,1-2,2,5,1-3,2,4,1-2,2,5
362,EM24,AL1,SVN,DEN,1-1,x,1-1,x,5,0-2,2,0,0-1,2,1,0-2,2,0,2-1,1,1,0-1,2,1,0-2,2,0,0-1,2,1,0-1,2,1,0-2,2,0,1-2,2,1,1-1,x,5,2-2,x,3,0-1,2,1
363,EM24,AL1,SRB,ENG,0-1,2,0-2,2,4,2-3,2,3,0-2,2,4,1-3,2,3,0-2,2,4,1-3,2,3,0-2,2,4,1-0,1,0,0-2,2,4,0-3,2,4,1-3,2,3,0-2,2,4,2-3,2,3,1-3,2,3
364,EM24,AL1,ROU,UKR,3-0,1,1-2,2,0,1-2,2,0,1-2,2,0,0-0,x,1,1-1,x,0,1-1,x,0,0-1,2,0,0-1,2,0,0-1,2,0,1-1,x,0,2-3,2,0,0-1,2,0,1-1,x,0,0-2,2,0
365,EM24,AL1,BEL,SVK,0-1,2,2-0,1,0,1-0,1,0,2-1,1,1,2-0,1,0,2-0,1,0,3-0,1,0,3-0,1,0,2-1,1,1,2-0,1,0,5-0,1,0,1-0,1,0,2-1,1,1,4-0,1,0,3-1,1,1
366,EM24,AL1,AUT,FRA,0-1,2,1-3,2,3,1-2,2,3,0-2,2,4,0-3,2,4,0-2,2,4,0-2,2,4,0-2,2,4,0-3,2,4,0-4,2,4,0-1,2,5,1-2,2,3,0-2,2,4,2-2,x,0,0-3,2,4
