#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet
32,MM10,AL1,RSA,MEX,1-1,x,1-1,x,5,2-2,x,3,1-1,x,5,1-0,1,1,2-2,x,3,3-2,1,0,1-2,2,1,0-2,2,0,1-2,2,1
33,MM10,AL1,URU,FRA,0-0,x,0-0,x,5,1-1,x,3,1-2,2,0,0-2,2,1,0-1,2,1,0-2,2,1,0-1,2,1,1-2,2,0,0-1,2,1
34,MM10,AL1,KOR,GRE,2-0,1,0-2,2,0,1-1,x,0,0-2,2,0,0-1,2,0,2-0,1,5,1-1,x,0,2-1,1,4,1-1,x,0,0-0,x,1
35,MM10,AL1,ARG,NGA,1-0,1,3-1,1,3,3-1,1,3,3-1,1,3,1-0,1,5,4-1,1,3,3-0,1,4,4-2,1,3,2-1,1,3,2-0,1,4
36,MM10,AL1,ENG,USA,1-1,x,1-1,x,5,2-2,x,3,2-0,1,0,2-1,1,1,1-2,2,1,2-0,1,0,0-0,x,3,3-0,1,0,2-1,1,1
37,MM10,AL1,ALG,SVN,0-1,2,0-1,2,5,1-2,2,3,1-1,x,1,0-2,2,4,2-0,1,0,0-1,2,5,1-0,1,0,0-2,2,4,1-1,x,1
38,MM10,AL1,SRB,GHA,0-1,2,2-1,1,1,1-1,x,1,2-1,1,1,1-1,x,1,0-0,x,1,1-1,x,1,2-2,x,0,3-1,1,1,1-0,1,0
39,MM10,AL1,GER,AUS,4-0,1,2-0,1,4,2-0,1,4,2-0,1,4,1-0,1,4,3-0,1,4,3-0,1,4,5-0,1,4,2-0,1,4,1-0,1,4
40,MM10,AL1,NED,DEN,2-0,1,2-1,1,4,2-0,1,5,2-0,1,5,2-1,1,4,1-1,x,0,3-1,1,3,3-1,1,3,2-0,1,5,2-0,1,5
41,MM10,AL1,JPN,CMR,1-0,1,0-2,2,0,1-2,2,1,0-2,2,0,1-2,2,1,1-1,x,1,0-0,x,1,1-0,1,5,1-1,x,1,0-2,2,0
42,MM10,AL1,ITA,PAR,1-1,x,1-0,1,1,1-1,x,5,2-0,1,0,2-0,1,0,1-0,1,1,2-1,1,1,1-0,1,1,1-0,1,1,0-0,x,3
43,MM10,AL1,NZL,SVK,1-1,x,0-2,2,0,0-2,2,0,0-1,2,1,0-2,2,0,0-2,2,0,0-1,2,1,0-2,2,0,0-3,2,0,1-2,2,1
44,MM10,AL1,CIV,POR,0-0,x,1-2,2,0,1-1,x,3,2-1,1,0,0-1,2,1,2-1,1,0,2-1,1,0,1-1,x,3,1-2,2,0,1-1,x,3
45,MM10,AL1,BRA,PRK,2-1,1,4-0,1,3,5-0,1,3,4-0,1,3,1-0,1,3,4-1,1,4,6-0,1,3,2-0,1,4,4-0,1,3,3-0,1,3
46,MM10,AL1,HON,CHI,0-1,2,,,,0-2,2,4,0-2,2,4,0-3,2,4,0-2,2,4,0-1,2,5,0-2,2,4,0-1,2,5,1-2,2,3
47,MM10,AL1,ESP,SUI,0-1,2,1-0,1,0,2-0,1,0,2-0,1,0,1-0,1,0,3-1,1,1,1-0,1,0,3-0,1,0,2-0,1,0,2-0,1,0
48,MM10,AL2,RSA,URU,0-3,2,1-0,1,0,1-1,x,0,1-1,x,0,1-0,1,0,1-0,1,0,1-1,x,0,1-1,x,0,0-1,2,4,1-1,x,0
49,MM10,AL2,ARG,KOR,4-1,1,2-1,1,4,2-0,1,3,2-0,1,3,,,,1-1,x,1,2-1,1,4,2-2,x,0,2-0,1,3,2-1,1,4
50,MM10,AL2,NGA,GRE,1-2,2,1-0,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-0,1,0,1-0,1,1,2-0,1,0,2-1,1,0,0-0,x,0
51,MM10,AL2,MEX,FRA,2-0,1,0-1,2,0,1-1,x,0,1-1,x,0,0-2,2,0,0-1,2,0,1-1,x,0,1-2,2,0,0-2,2,0,1-1,x,0
52,MM10,AL2,GER,SRB,0-1,2,1-1,x,1,2-0,1,0,2-1,1,1,2-0,1,0,3-0,1,0,2-0,1,0,3-0,1,0,2-0,1,0,1-1,x,1
53,MM10,AL2,SVN,USA,2-2,x,0-0,x,3,0-2,2,1,0-2,2,1,0-0,x,3,1-2,2,1,0-1,2,0,0-0,x,3,2-1,1,1,1-2,2,1
54,MM10,AL2,ENG,ALG,0-0,x,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,2-0,1,1,3-0,1,1,1-0,1,1
