#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,JayJay-veikkaus,JayJay-merkki,JayJay-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet
127,MM14,AL1,BRA,CRO,3-1,1,2-0,1,3,2-0,1,3,2-0,1,3,2-0,1,3,3-1,1,5,2-0,1,3,2-0,1,3,1-1,x,1,2-0,1,3,2-0,1,3,2-1,1,4,2-1,1,4
128,MM14,AL1,MEX,CMR,1-0,1,1-2,2,1,1-0,1,5,1-0,1,5,2-1,1,3,2-1,1,3,2-1,1,3,1-1,x,1,2-0,1,4,0-0,x,1,1-0,1,5,3-2,1,3,2-1,1,3
129,MM14,AL1,ESP,NED,1-5,2,1-0,1,1,2-1,1,0,1-1,x,1,1-0,1,1,3-1,1,0,2-1,1,0,1-2,2,4,2-0,1,0,1-0,1,1,2-1,1,0,1-1,x,1,1-0,1,1
130,MM14,AL1,CHI,AUS,3-1,1,3-1,1,5,3-1,1,5,1-0,1,3,3-1,1,5,1-1,x,1,2-0,1,3,3-0,1,4,4-0,1,3,3-1,1,5,1-0,1,3,2-0,1,3,3-0,1,4
131,MM14,AL1,COL,GRE,3-0,1,1-0,1,4,1-0,1,4,1-0,1,4,2-0,1,4,2-0,1,4,3-1,1,4,1-0,1,4,1-1,x,0,3-1,1,4,1-0,1,4,1-0,1,4,2-0,1,4
132,MM14,AL1,URU,CRC,1-3,2,2-0,1,0,2-0,1,0,3-1,1,0,1-0,1,1,2-1,1,0,2-0,1,0,1-0,1,1,2-0,1,0,2-0,1,0,3-0,1,0,2-0,1,0,3-1,1,0
133,MM14,AL1,ENG,ITA,1-2,2,2-2,x,1,1-1,x,1,1-1,x,1,1-1,x,1,0-1,2,3,2-2,x,1,1-1,x,1,0-1,2,3,0-0,x,0,1-1,x,1,1-1,x,1,0-1,2,3
134,MM14,AL1,CIV,JPN,2-1,1,3-2,1,3,1-1,x,1,2-1,1,5,1-1,x,1,3-1,1,4,2-0,1,4,0-1,2,1,1-0,1,3,1-2,2,0,2-1,1,5,2-2,x,1,1-2,2,0
135,MM14,AL1,SUI,ECU,2-1,1,1-0,1,3,2-1,1,5,2-1,1,5,2-1,1,5,2-0,1,4,1-0,1,3,1-0,1,3,1-1,x,1,2-0,1,4,1-0,1,3,1-0,1,3,2-1,1,5
136,MM14,AL1,FRA,HON,3-0,1,4-0,1,4,3-0,1,5,3-0,1,5,3-0,1,5,3-0,1,5,3-1,1,4,3-0,1,5,3-0,1,5,1-0,1,4,2-0,1,4,2-0,1,4,2-1,1,3
137,MM14,AL1,ARG,BIH,2-1,1,3-1,1,4,2-0,1,4,2-1,1,5,3-1,1,4,2-1,1,5,3-1,1,4,3-0,1,3,2-0,1,4,3-1,1,4,4-1,1,4,2-1,1,5,3-1,1,4
138,MM14,AL1,GER,POR,4-0,1,2-1,1,3,2-1,1,3,3-2,1,3,1-1,x,0,3-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,2-1,1,3,3-1,1,3
139,MM14,AL1,IRN,NGA,0-0,x,1-1,x,3,0-1,2,1,0-1,2,1,0-0,x,5,0-1,2,1,0-2,2,1,0-2,2,1,0-2,2,1,1-1,x,3,0-1,2,1,0-2,2,1,0-2,2,1
140,MM14,AL1,GHA,USA,1-2,2,2-1,1,0,2-1,1,0,2-1,1,0,1-1,x,1,2-1,1,0,1-1,x,1,1-1,x,1,1-1,x,1,2-1,1,0,1-1,x,1,2-1,1,0,2-1,1,0
141,MM14,AL1,BEL,ALG,2-1,1,1-0,1,3,1-0,1,3,2-0,1,4,2-1,1,5,,,,2-1,1,5,2-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,3-0,1,3,3-0,1,3
142,MM14,AL2,BRA,MEX,0-0,x,2-0,1,1,2-0,1,1,2-1,1,0,2-0,1,1,2-0,1,1,2-0,1,1,3-1,1,0,2-0,1,1,3-0,1,1,2-0,1,1,2-0,1,1,2-1,1,0
143,MM14,AL1,RUS,KOR,1-1,x,1-0,1,1,1-0,1,1,1-0,1,1,2-0,1,0,3-1,1,1,2-1,1,1,1-1,x,5,1-0,1,1,2-1,1,1,1-0,1,1,2-1,1,1,2-0,1,0
144,MM14,AL2,AUS,NED,2-3,2,1-3,2,4,1-3,2,4,0-3,2,4,0-2,2,3,1-4,2,3,0-3,2,4,0-4,2,3,0-3,2,4,1-0,1,0,0-3,2,4,0-3,2,4,0-3,2,4
145,MM14,AL2,ESP,CHI,0-2,2,2-0,1,0,1-0,1,0,2-1,1,0,2-1,1,0,2-1,1,0,2-1,1,0,2-1,1,0,2-0,1,0,2-2,x,1,2-1,1,0,2-1,1,0,2-1,1,0
146,MM14,AL2,CMR,CRO,0-4,2,1-3,2,3,0-1,2,4,0-2,2,4,0-2,2,4,1-3,2,3,1-2,2,3,1-2,2,3,0-2,2,4,0-2,2,4,1-2,2,3,0-3,2,4,1-2,2,3
147,MM14,AL2,COL,CIV,2-1,1,2-1,1,5,3-2,1,3,2-1,1,5,2-2,x,1,2-1,1,5,1-2,2,0,2-0,1,4,1-2,2,0,2-0,1,4,2-0,1,4,2-0,1,4,2-1,1,5
148,MM14,AL2,URU,ENG,2-1,1,2-3,2,1,1-2,2,0,1-2,2,0,1-2,2,0,1-2,2,0,2-1,1,5,0-2,2,0,1-2,2,0,1-1,x,1,3-2,1,3,1-2,2,0,1-2,2,0
149,MM14,AL2,JPN,GRE,0-0,x,1-1,x,3,0-1,2,1,1-1,x,3,2-0,1,1,1-0,1,1,1-0,1,1,1-0,1,1,1-0,1,1,2-1,1,0,1-1,x,3,1-1,x,3,2-0,1,1
