#,Turnaus,Vaihe,Koti,Vieras,Tulos,Merkki,Zen-veikkaus,Zen-merkki,Zen-pisteet,Babar-veikkaus,Babar-merkki,Babar-pisteet,Lepe-veikkaus,Lepe-merkki,Lepe-pisteet,Mr. Ku Runk-veikkaus,Mr. Ku Runk-merkki,Mr. Ku Runk-pisteet,Zkibu-veikkaus,Zkibu-merkki,Zkibu-pisteet,Jean-Cul-veikkaus,Jean-Cul-merkki,Jean-Cul-pisteet,Adveleksi-veikkaus,Adveleksi-merkki,Adveleksi-pisteet,Hashmeer-veikkaus,Hashmeer-merkki,Hashmeer-pisteet,Kranjech-veikkaus,Kranjech-merkki,Kranjech-pisteet,opi go-veikkaus,opigo-merkki,opigo-pisteet,Tups Forever-veikkaus,Tups Forever-merkki,Tups Forever-pisteet,Karkki-veikkaus,Karkki-merkki,Karkki-pisteet,Joonas H-veikkaus,Joonas H-merkki,Joonas H-pisteet
242,MM18,AL1,RUS,KSA,5-0,1,2-0,1,4,1-0,1,4,2-0,1,4,1-0,1,4,2-0,1,4,2-0,1,4,2-0,1,4,1-1,x,0,1-1,x,0,0-0,x,1,1-1,x,0,1-0,1,4,2-0,1,4
243,MM18,AL1,EGY,URU,0-1,2,0-2,2,4,1-2,2,3,1-2,2,3,1-2,2,3,1-2,2,3,1-2,2,3,0-2,2,4,1-2,2,3,0-2,2,4,0-2,2,4,1-2,2,3,1-3,2,3,1-2,2,3
244,MM18,AL1,MAR,IRN,0-1,2,0-0,x,1,1-0,1,0,0-0,x,1,1-1,x,1,1-3,2,3,2-0,1,0,1-0,1,0,2-0,1,0,2-0,1,0,0-0,x,1,1-0,1,0,2-0,1,0,1-1,x,1
245,MM18,AL1,POR,ESP,3-3,x,1-2,2,0,2-3,2,1,1-2,2,0,2-2,x,3,1-3,2,1,1-2,2,0,1-1,x,3,3-0,1,1,1-2,2,0,0-1,2,0,2-1,1,0,1-1,x,3,1-2,2,0
246,MM18,AL1,FRA,AUS,2-1,1,3-1,1,4,2-0,1,4,4-0,1,3,3-0,1,3,2-0,1,4,3-0,1,3,3-0,1,3,1-0,1,3,2-0,1,4,2-0,1,4,3-0,1,3,3-0,1,3,2-0,1,4
247,MM18,AL1,ARG,ISL,1-1,x,2-0,1,0,2-1,1,1,2-0,1,0,2-1,1,1,3-0,1,0,1-0,1,1,2-0,1,0,0-1,2,1,2-0,1,0,3-1,1,1,2-1,1,1,2-1,1,1,2-0,1,0
248,MM18,AL1,PER,DEN,0-1,2,1-1,x,1,1-1,x,1,1-1,x,1,0-1,2,5,0-2,2,4,1-1,x,1,0-1,2,5,1-1,x,1,0-1,2,5,0-1,2,5,0-2,2,4,1-2,2,3,1-1,x,1
249,MM18,AL1,CRO,NGA,2-0,1,1-0,1,4,3-1,1,3,1-0,1,4,2-1,1,4,2-0,1,5,2-1,1,4,1-0,1,4,1-0,1,4,2-0,1,5,2-0,1,5,1-0,1,4,2-1,1,4,1-0,1,4
250,MM18,AL1,CRC,SRB,0-1,2,0-1,2,5,0-1,2,5,0-0,x,1,1-1,x,1,2-2,x,0,0-2,2,4,1-2,2,3,0-0,x,1,0-0,x,1,1-1,x,1,1-2,2,3,0-2,2,4,0-2,2,4
251,MM18,AL1,GER,MEX,0-1,2,2-1,1,1,2-0,1,0,3-1,1,1,2-1,1,1,3-0,1,0,3-1,1,1,2-0,1,0,2-0,1,0,2-0,1,0,3-0,1,0,2-0,1,0,2-1,1,1,2-1,1,1
252,MM18,AL1,BRA,SUI,1-1,x,2-0,1,0,2-0,1,0,3-0,1,0,3-1,1,1,3-0,1,0,2-0,1,0,2-0,1,0,2-1,1,1,1-0,1,1,0-0,x,3,3-1,1,1,3-1,1,1,2-0,1,0
253,MM18,AL1,SWE,KOR,1-0,1,1-0,1,5,1-0,1,5,1-0,1,5,2-1,1,3,1-1,x,1,1-0,1,5,2-1,1,3,0-1,2,0,1-1,x,1,2-1,1,3,1-0,1,5,2-0,1,4,1-1,x,1
